Serial No.,Student name,Exam Score,TOEFL Score,University Rating,Grade 5-9,SOP,LOR ,CGPA,Research,Chance of Admit
1430075,Manole Ardelean,311,103,3,5.36,2.0,4.0,8.09,bad,0.64
1270075,Norbert Stănescu,322,109,5,5.03,4.5,3.5,8.8,bad,0.76
40075,Raluca Popescu,308,101,2,5.16,3.0,4.0,7.9,bad,0.68
4000075,Mălina Preda,319,103,3,5.77,2.5,4.0,8.76,good,0.73
2410075,Silvana Voinea,331,116,5,5.51,5.0,5.0,9.38,good,0.93
4880075,Veniamin Nistor,300,105,1,5.42,1.0,2.0,7.8,bad,0.58
3000075,Oliviu Eftimie,309,104,2,5.53,2.0,2.5,8.26,bad,0.65
2330075,Vlad Dumitrescu,302,110,3,5.15,4.0,4.5,8.5,bad,0.65
1000075,Casiana Ababei,296,99,2,5.98,3.0,3.5,7.28,bad,0.47
4200075,Ludovica Dumitrescu,311,105,3,5.32,3.5,3.0,8.45,good,0.59
3690075,Letiția Tabacu,320,111,4,5.15,4.5,3.5,8.87,good,0.85
480075,Constanța Stan,321,109,3,5.67,3.0,3.0,8.54,good,0.79
3150075,Giorgiana Albu,305,107,2,5.24,2.5,2.5,8.42,bad,0.71
610075,Pompiliu Tudor,325,112,2,5.1,3.0,3.5,8.96,good,0.8
3580075,Tiberia Ardelean,301,98,1,5.14,2.0,3.0,8.03,good,0.67
2770075,Jeana Florea,314,102,2,5.16,2.0,2.5,8.24,bad,0.64
3520075,Cătălin Ioniță,307,107,2,5.78,3.0,3.5,8.52,good,0.78
1400075,Severin Oprea,311,101,3,5.34,2.0,2.5,7.64,good,0.62
2350075,Maxim Pușcașu,322,110,3,5.6,3.5,3.0,8.96,good,0.78
2800075,Severina Ene,310,105,2,5.17,3.0,3.5,8.01,bad,0.71
3550075,Veniamin Eftimie,332,118,2,5.4,4.5,3.5,9.36,good,0.9
3480075,Anca Mocanu,330,114,4,5.36,4.5,3.0,9.17,good,0.86
2920075,Dina Dumitrescu,316,107,2,5.14,3.5,3.5,8.64,good,0.57
4770075,Teodor Nistor,325,108,4,5.28,4.5,4.0,9.06,good,0.79
1640075,Sinică Diaconu,293,97,2,5.89,2.0,4.0,7.8,good,0.64
1090075,Silvia Aanei,300,95,2,5.24,3.0,1.5,8.22,good,0.62
670075,Laura Ionescu,304,101,2,5.24,2.0,2.5,7.66,bad,0.38
2810075,Coralia Mocanu,304,100,2,5.09,3.5,3.0,8.22,bad,0.63
3960075,Beniamin Gheorghiu,294,95,1,6.2,1.5,1.5,7.64,bad,0.49
540075,Francesca Popescu,304,103,5,5.43,5.0,4.0,8.64,bad,0.68
3980075,Corina Mazilescu,324,110,3,5.14,3.5,4.0,8.87,good,0.8
2470075,Todor Barbu,320,113,2,5.59,2.0,2.5,8.64,good,0.81
4150075,Zina Diaconu,298,98,2,5.2,4.0,3.0,8.03,bad,0.34
220075,Veniamin Ioniță,321,112,5,5.7,5.0,5.0,9.06,good,0.86
2610075,Monalisa Popescu,311,98,1,5.1,1.0,2.5,7.46,bad,0.57
4700075,Timotei Dobre,318,101,5,5.63,3.5,5.0,8.78,good,0.78
3440075,Ligia Niță,322,115,5,5.23,4.0,4.5,9.36,good,0.92
470075,Cipriana Preda,328,110,4,5.17,4.0,2.5,9.02,good,0.81
2190075,Sofia Stănescu,322,110,5,5.24,4.5,4.0,8.97,bad,0.78
2390075,Aura Niță,317,105,3,5.2,3.5,3.0,8.56,bad,0.68
1380075,Oana Nemeș,313,107,3,5.34,4.0,4.5,8.69,bad,0.72
1740075,Teodor Cristea,318,112,3,5.25,4.0,3.5,8.67,bad,0.71
2250075,Anton Stancu,314,106,3,5.22,3.0,5.0,8.9,bad,0.74
1440075,Ilinca Dumitrescu,318,103,3,5.23,4.0,4.5,8.49,good,0.71
